控江二村107弄小区    ,270,1, 46.47
华升公寓    ,595,2, 96.41
东田公寓    ,670,2, 104.6
华升新苑    ,1500,4, 190.84
广杭苑    ,530,2, 87.1
双阳路594弄    ,400,2, 55.81
公安公寓    ,413,1, 43.96
开鲁路382弄    ,190,1, 42.07
控江四村    ,335,2, 67.5
复旦书馨公寓    ,830,2, 103.6
兴浦新村    ,190,1, 48.43
控江二村107弄小区    ,220,2, 34
辽源三村    ,210,1, 34.02
东田公寓    ,590,2, 93.4
大运盛城    ,880,3, 135.3
大运盛城    ,720,2, 99.46
和平花苑    ,583,2, 84.28
文化花园园中苑    ,1030,4, 176.02
上海大花园    ,805,2, 98
文化花园清华苑    ,960,3, 168.28
建发璟墅    ,2320,4, 397.31
恒联新天地花园    ,1125,3, 131.8
现代星洲城    ,820,2, 107.98
中建大公馆    ,2580,5, 429
广杭苑    ,1000,2, 109.47
华润置地橡树湾    ,2050,5, 384.68
阳明新城    ,575,3, 89.79
华元豪庭    ,1150,3, 143
文化花园清华苑    ,1230,4, 191.35
保利香槟苑    ,1153,4, 115.94
耀浦苑    ,950,3, 124.99
鞍山四村第二小区    ,248,1, 34.78
引翔港小区    ,268,2, 48.56
市光四村    ,330,2, 57.38
广杭苑    ,1200,3, 123.29
五彩星辰    ,638,5, 121.97
广圆小区    ,630,2, 83.2
建发江湾萃    ,1950,4, 276.72
新凤城    ,1350,3, 153.09
宝钢又一村    ,720,3, 137.54
仁德苑    ,830,3, 127.02
海杨公寓    ,910,4, 148.59
华升新苑    ,810,2, 101.97
恒联新天地花园    ,808,2, 99.7
仁恒怡庭    ,2780,5, 336.69
九龙仓玺园    ,2600,4, 330.09
汇元坊    ,815,3, 129.8
大运盛城    ,718,3, 118
国富苑    ,640,2, 115.3
明园公寓    ,445,2, 76.01
航天小区    ,345,2, 65.26
城市名园    ,435,2, 84.25
伊格尔公寓    ,650,3, 127.25
信通浦皓园    ,788,2, 101.54
鞍山三村    ,670,2, 99.88
佳龙花园    ,950,3, 127.1
华润置地橡树湾    ,1500,4, 175.34
紫罗兰家苑    ,850,2, 99.04
仁德苑    ,950,3, 166.11
景江公寓    ,900,3, 156.61
嘉誉湾    ,1850,4, 201
恒阳花苑    ,600,2, 85.47
抚顺路363弄    ,405,2, 56.36
文化佳园    ,1040,4, 139.65
申通公寓    ,505,2, 93.01
双辽新村    ,185,1, 31.36
锦西路30弄    ,260,1, 34.77
新凤城    ,500,1, 60.3
同济新村    ,525,3, 62.68
华润置地橡树湾    ,1500,4, 289.29
泰宝华庭(公寓)    ,1700,4, 333.71
华谊星城名苑    ,800,3, 105.37
瀚杨苑    ,948,3, 156.89
宝地东花园    ,1088,3, 120.89
东田公寓    ,650,2, 100.27
仁德路67弄10支弄    ,440,2, 78.16
崇业小区    ,340,1, 51.11
双辽新村    ,283,2, 47.16
宁武小区    ,630,3, 122.79
中环和润苑    ,550,3, 88.9
银鹿大厦    ,580,2, 89.4
国顺路400弄    ,188,1, 32.99
乾阳佳园    ,698,2, 112.65
双喜家园    ,610,2, 86.26
新凤城    ,450,1, 61.34
控江五村    ,420,4, 75.69
新凤城    ,520,1, 61.34
怡福苑    ,690,3, 109.84
鑫隆公寓    ,660,3, 103.76
华润置地橡树湾    ,2900,5, 350.57
锦杨苑    ,810,3, 128
和平花苑    ,880,3, 122.54
嘉誉湾    ,2500,4, 282.11
海鹏花苑    ,720,3, 123.08
凯达苑    ,355,1, 61.65
凯兴苑    ,690,2, 106.6
尚浦名邸    ,1880,3, 249
许昌路1479弄    ,182,1, 26.75
铁路新村(杨浦)    ,360,2, 56.05
建发珑庭二期    ,920,3, 118
双辽新村    ,325,2, 51.5
铁岭路50弄    ,333,2, 49.24
汇丰苑    ,739,4, 129.82
三湘七星府邸    ,1620,4, 212.39
黄兴绿园    ,885,3, 137
仁德路67弄    ,363,2, 57.97
文化花园香榭丽苑    ,1138,4, 166.21
大运盛城    ,1150,5, 206.18
东方锦园    ,900,3, 139
佳泰花园    ,1130,5, 205.38
松苑小区    ,630,3, 104.4
松益公寓    ,585,2, 91.82
